description,monthly_installment,list_price,model,milleage,gear_type,location
2021 MINI Countryman 1.5 Cooper S E-Hybrid SUV - Sime Darb...,"RM 1,750 / month","RM 135,000",MINI Countryman,25 - 30K KM,Automatic,"Kuala Lumpur , Chan Sow Lin",,,,,,
2023 Ford Ranger 3.0 Raptor Dual Cab Pickup - Sime Darby A...,"RM 2,398 / month","RM 185,000",Ford Ranger,55 - 60K KM,Automatic,"Kuala Lumpur , Chan Sow Lin",,,,,,
2018/2019 Mercedes-Benz A200 1.3 Progressive Line Hatchbac...,"RM 1,400 / month","RM 108,000",Mercedes-Benz A200,65 - 70K KM,Automatic,"Kuala Lumpur , Chan Sow Lin",,,,,,
2023 Nissan Serena 2.0 S-Hybrid High-Way Star MPV - Sime D...,"RM 1,452 / month","RM 112,000",Nissan Serena,40 - 45K KM,Automatic,"Kuala Lumpur , Chan Sow Lin",,,,,,
2022 BMW X5 3.0 xDrive45e M Sport SUV - Sime Darby Premium...,"RM 2,982 / month","RM 230,000",BMW X5,45 - 50K KM,Automatic,"Kuala Lumpur , Chan Sow Lin",,,,,,
2019 Mercedes-Benz C300 2.0 AMG Line Sedan - AMG Facelift ...,"RM 1,579 / month","RM 121,800",Mercedes-Benz C300,65 - 70K KM,Automatic,"Kuala Lumpur , Desa Petaling",,,,,,
2012 Toyota Vios 1.5 J Sedan,RM 285 / month,"RM 22,000",Toyota Vios,115 - 120K KM,Automatic,"Johor , Johor Bahru",,,,,,
2021 Mercedes-Benz E300 2.0 AMG Line Sedan - September AMG...,"RM 2,720 / month","RM 209,800",Mercedes-Benz E300,75 - 80K KM,Automatic,"Penang , Greenlane",,,,,,
2019 Mercedes-Benz C300 2.0 AMG Line Sedan - October AMG N...,"RM 1,814 / month","RM 139,888",Mercedes-Benz C300,75 - 80K KM,Automatic,"Penang , Greenlane",,,,,,
2022 BMW 330Li 2.0 M Sport Sedan,"RM 2,437 / month","RM 188,000",,30 - 35K KM,Automatic,"Selangor , Petaling Jaya",,,,,,
2014 Maserati Quattroporte 3.0 S Sedan - September V6 (A) ...,"RM 1,801 / month","RM 138,888",,35 - 40K KM,Automatic,"Penang , Greenlane",,,,,,
2019 Volvo S90 2.0 T8 Inscription Sedan,"RM 1,167 / month","RM 90,000",Volvo S90,65 - 70K KM,Automatic,"Selangor , Petaling Jaya",,,,,,
2023 BMW X4 2.0 xDrive30i M Sport SUV,"RM 3,410 / month","RM 263,000",BMW X4,40 - 45K KM,Automatic,"Selangor , Petaling Jaya",,,,,,
2021 Volvo XC40 2.0 T5 R-Design SUV,"RM 1,685 / month","RM 130,000",,25 - 30K KM,Automatic,"Selangor , Petaling Jaya",,,,,,
2012 Volkswagen Passat 1.8 TSI Sport Sedan - HARGA O.T.R R...,RM 281 / month,"RM 21,700",Volkswagen Passat,125 - 130K KM,Automatic,"Kuala Lumpur , Cheras",,,,,,
"2011 Nissan Teana 2.0 XE Luxury Sedan - HARGA O.T.R RM18,7...",RM 242 / month,"RM 18,700",Nissan Teana,105 - 110K KM,Automatic,"Kuala Lumpur , Cheras",,,,,,
"2011 Nissan Teana 2.5 Premium Sedan - HARGA O.T.R RM18,700...",RM 242 / month,"RM 18,700",Nissan Teana,110 - 115K KM,Automatic,"Kuala Lumpur , Cheras",,,,,,
2022 BMW X3 2.0 xDrive30i M Sport SUV,"RM 2,567 / month","RM 198,000",BMW X3,45 - 50K KM,Automatic,"Selangor , Petaling Jaya",,,,,,
2020/2021 MINI Countryman 2.0 Cooper S Sports SUV - OFFER ...,"RM 1,497 / month","RM 115,500",MINI Countryman,55 - 60K KM,Automatic,"Kuala Lumpur , Kepong",,,,,,
2019 BMW 330i 2.0 M Sport Sedan - OFFER,"RM 1,554 / month","RM 119,900",BMW 330i,105 - 110K KM,Automatic,"Kuala Lumpur , Kepong",,,,,,
2022 Mercedes-Benz GLC200 2.0 AMG Line SUV,"RM 2,463 / month","RM 190,000",,50 - 55K KM,Automatic,"Selangor , Petaling Jaya",,,,,,
2021 Hyundai Santa Fe 2.4 Premium SUV,"RM 1,141 / month","RM 88,000",Hyundai Santa Fe,70 - 75K KM,Automatic,"Selangor , Petaling Jaya",,,,,,
2022 Mercedes-Benz GLC300 2.0 4MATIC AMG Line SUV,"RM 2,528 / month","RM 195,000",Mercedes-Benz GLC300,65 - 70K KM,Automatic,"Selangor , Petaling Jaya",,,,,,
2013 Bentley Flying Spur 6.0 W12 Sedan - NAIM CONTINENTAL ...,"RM 1,932 / month","RM 149,000",,60 - 65K KM,Automatic,"Selangor , Petaling Jaya",,,,,,
2020 Mazda CX-5 2.0 SKYACTIV-G High SUV,"RM 1,076 / month","RM 83,000",Mazda CX-5,75 - 80K KM,Automatic,"Selangor , Petaling Jaya",,,,,,
2017 BMW 320i 2.0 M Sport Sedan - M-Sport Facelift B48 Lci...,RM 879 / month,"RM 67,800",BMW 320i,75 - 80K KM,Automatic,"Kuala Lumpur , Desa Petaling",,,,,,
"2019 BMW 318i 1.5 Luxury Sedan - June (A) F30 LCi, New Fac...",RM 905 / month,"RM 69,800",BMW 318i,70 - 75K KM,Automatic,"Penang , Greenlane",,,,,,
2019/2024 Mercedes-Benz A250 2.0 4MATIC Sport Sedan,"RM 1,815 / month","RM 140,000",Mercedes-Benz A250,40 - 45K KM,Automatic,"Selangor , Petaling Jaya",,,,,,
,,,,,, ,,,,,,
,,,,,, ,,,,,,
2018 Honda CR-V 1.5 TC SUV,"RM 1,042 / month","RM 80,400",Honda CR-V,141077 KM,Automatic,"Penang , Perai",,,,,,
2022 BMW X1 2.0 sDrive20i M Sport SUV,"RM 1,685 / month","RM 130,000",BMW X1,60 - 65K KM,Automatic,"Selangor , Petaling Jaya",,,,,,
2020 BMW X1 2.0 sDrive20i M Sport SUV,"RM 1,283 / month","RM 99,000",BMW X1,45 - 50K KM,Automatic,"Selangor , Petaling Jaya",,,,,,
2024 BMW 750e 3.0 xDrive M Sport Pure Excellence Sedan,"RM 6,223 / month","RM 480,000",,25 - 30K KM,Automatic,"Selangor , Petaling Jaya",,,,,,
2020 Toyota Yaris 1.5 E Hatchback - RM658 MO 8 YEARS LOAN ...,RM 710 / month,"RM 54,800",Toyota Yaris,85 - 90K KM,Automatic,"Johor , Skudai",,,,,,
2022 Honda CR-V 1.5 TC-P SUV,"RM 1,413 / month","RM 109,000",Honda CR-V,60 - 65K KM,Automatic,"Selangor , Petaling Jaya",,,,,,
2020 Perodua Myvi 1.5 AV Hatchback,RM 557 / month,"RM 43,000",Perodua Myvi,92225 KM,Automatic,"Kedah , Alor Setar",,,,,,
2022 Toyota Hilux 2.8 Rogue Dual Cab Pickup - Truck,"RM 1,528 / month","RM 117,900",Toyota Hilux,27841 KM,Automatic,"Kedah , Alor Setar",,,,,,
2019 Honda City 1.5 V Sedan,RM 699 / month,"RM 53,900",Honda City,95785 KM,Automatic,"Kedah , Alor Setar",,,,,,
2022 Honda City 1.5 V Sedan,RM 869 / month,"RM 67,000",Honda City,79495 KM,Automatic,"Kedah , Alor Setar",,,,,,
2023 Perodua Ativa 1.0 AV SUV,RM 783 / month,"RM 60,400",,36608 KM,Automatic,"Kedah , Alor Setar",,,,,,
2023 Honda HR-V 1.5 e:HEV RS SUV - eHEV RS,"RM 1,258 / month","RM 97,000",Honda HR-V,50 - 55K KM,Automatic,"Selangor , Petaling Jaya",,,,,,
2018 Perodua Alza 1.5 SE MPV - (BUDGET KING) RM533 MO 8 YE...,RM 576 / month,"RM 44,400",Perodua Alza,130 - 135K KM,Automatic,"Johor , Skudai",,,,,,
2020 Perodua Aruz 1.5 AV SUV - 598 MO 9 YEARS LOAN,RM 685 / month,"RM 52,800",Perodua Aruz,50 - 55K KM,Automatic,"Johor , Skudai",,,,,,
2019 Perodua Myvi 1.5 AV Hatchback - (HIGHWAY KING) 469 MO...,RM 516 / month,"RM 39,800",Perodua Myvi,80 - 85K KM,Automatic,"Johor , Skudai",,,,,,
2019 Perodua AXIA 1.0 GXtra Hatchback - 325 MO 9 YEARS LOA...,RM 351 / month,"RM 27,100",Perodua AXIA,100 - 105K KM,Automatic,"Johor , Skudai",,,,,,
2019 Toyota Camry 2.5 V Sedan - (A) KING SPEC RM1226 MO 9 ...,"RM 1,413 / month","RM 109,000",Toyota Camry,75 - 80K KM,Automatic,"Johor , Skudai",,,,,,
2017 Honda Accord 2.4 VTi-L Sedan,RM 843 / month,"RM 65,000",Honda Accord,55 - 60K KM,Automatic,"Selangor , Petaling Jaya",,,,,,
2020 Honda City 1.5 V Sedan,RM 775 / month,"RM 59,800",Honda City,91727 KM,Automatic,"Kedah , Alor Setar",,,,,,
2018 Honda City 1.5 V Sedan,RM 648 / month,"RM 50,000",Honda City,130241 KM,Automatic,"Perak , Ipoh",,,,,,
2022 BMW X3 2.0 sDrive20i X-Line SUV,"RM 2,398 / month","RM 185,000",BMW X3,25 - 30K KM,Automatic,"Selangor , Petaling Jaya",,,,,,
2019 Hyundai Grand Starex 2.5 Executive MPV - LIMITED STOC...,"RM 1,359 / month","RM 104,800",Hyundai Grand Starex,105 - 110K KM,Automatic,"Selangor , Petaling Jaya",,,,,,
2020 Perodua Aruz 1.5 AV SUV,RM 682 / month,"RM 52,600",Perodua Aruz,85296 KM,Automatic,"Perak , Ipoh",,,,,,
2020 Perodua Myvi 1.5 AV Hatchback,RM 563 / month,"RM 43,400",Perodua Myvi,91944 KM,Automatic,"Perak , Ipoh",,,,,,
2015 Perodua Alza 1.5 SE MPV,RM 433 / month,"RM 33,400",Perodua Alza,182028 KM,Automatic,"Perak , Ipoh",,,,,,
,,,,,, ,,,,,,
,,,,,, ,,,,,,
2014 Honda Jazz 1.5 V Hatchback,RM 519 / month,"RM 40,000",Honda Jazz,145012 KM,Automatic,"Perak , Ipoh",,,,,,
2018 Perodua Myvi 1.5 AV Hatchback,RM 557 / month,"RM 43,000",Perodua Myvi,89799 KM,Automatic,"Perak , Ipoh",,,,,,
2019 Perodua Myvi 1.3 X Hatchback,RM 477 / month,"RM 36,800",Perodua Myvi,90569 KM,Automatic,"Perak , Ipoh",,,,,,
2019 Hyundai Grand Starex 2.5 Executive MPV,"RM 1,361 / month","RM 105,000",Hyundai Grand Starex,96485 KM,Automatic,"Perak , Ipoh",,,,,,
2017 Perodua AXIA 1.0 G Hatchback,RM 322 / month,"RM 24,800",Perodua AXIA,106474 KM,Automatic,"Perak , Ipoh",,,,,,
2020 Isuzu D-Max 1.9 Stealth Dual Cab Pickup - Truck,"RM 1,203 / month","RM 92,800",Isuzu D-Max,84876 KM,Automatic,"Perak , Ipoh",,,,,,
2015 Mazda 2 1.5 SKYACTIV-G Sedan,RM 439 / month,"RM 33,900",Mazda 2,111942 KM,Automatic,"Perak , Ipoh",,,,,,
2020 Perodua Bezza 1.3 X Sedan,RM 516 / month,"RM 39,800",Perodua Bezza,70214 KM,Automatic,"Perak , Ipoh",,,,,,
2021 Perodua AXIA 1.0 GXtra Hatchback,RM 436 / month,"RM 33,600",Perodua AXIA,27242 KM,Automatic,"Perak , Ipoh",,,,,,
2018 Volkswagen Golf 1.4 TSI R-Line Hatchback - (83K KM On...,RM 970 / month,"RM 74,800",Volkswagen Golf,80 - 85K KM,Automatic,"Kuala Lumpur , Setapak",,,,,,
2022 BMW 530e 2.0 M Sport Sedan - (55K KM Only) (Full Serv...,"RM 2,048 / month","RM 158,000",BMW 530e,55 - 60K KM,Automatic,"Kuala Lumpur , Setapak",,,,,,
2022 Perodua Ativa 1.0 AV SUV,RM 752 / month,"RM 58,000",,25727 KM,Automatic,"Penang , Bayan Lepas",,,,,,
2021 Perodua AXIA 1.0 GXtra Hatchback,RM 420 / month,"RM 32,400",Perodua AXIA,46510 KM,Automatic,"Penang , Bayan Lepas",,,,,,
2020 Proton Iriz 1.6 Executive Hatchback,RM 375 / month,"RM 28,900",Proton Iriz,29371 KM,Automatic,"Penang , Bayan Lepas",,,,,,
2021 Toyota Vios 1.5 G Sedan,RM 853 / month,"RM 65,800",Toyota Vios,44644 KM,Automatic,"Penang , Bayan Lepas",,,,,,
2017 Honda City 1.5 S Sedan,RM 543 / month,"RM 41,900",Honda City,86911 KM,Automatic,"Penang , Bayan Lepas",,,,,,
2018 Perodua Alza 1.5 Advance MPV,RM 563 / month,"RM 43,400",Perodua Alza,133813 KM,Automatic,"Penang , Bayan Lepas",,,,,,
2019 Perodua Myvi 1.5 H Hatchback,RM 511 / month,"RM 39,400",Perodua Myvi,93592 KM,Automatic,"Penang , Bayan Lepas",,,,,,
2022 Mercedes-Benz E300 2.0 AMG Line Sedan,"RM 3,021 / month","RM 233,000",Mercedes-Benz E300,60 - 65K KM,Automatic,"Kuala Lumpur , Chan Sow Lin",,,,,,
2023/2024 TESLA Model 3 Long Range Sedan - 0.0,"RM 1,621 / month","RM 125,000",,7566 KM,Automatic,"Kuala Lumpur , TTDI",,,,,,
2023 Maxus V80 2.5 Window LWB 15 Seater Van - (A) Window 1...,"RM 1,112 / month","RM 85,800",Maxus V80,70 - 75K KM,Automatic,"Selangor , Serdang",,,,,,
2014 Toyota Innova 2.0 G MPV - 3 YEARS WARRANTY GOOD CONDI...,RM 360 / month,"RM 27,800",Toyota Innova,155 - 160K KM,Automatic,"Selangor , Kajang",,,,,,
2021 Mazda 2 1.5 SKYACTIV-G GVC Plus Sedan - NEW CAR CONDI...,RM 620 / month,"RM 47,800",Mazda 2,80 - 85K KM,Automatic,"Selangor , Kajang",,,,,,
2018 Toyota Corolla Altis 1.8 G Sedan - (A) MAXIMUM LOAN W...,RM 659 / month,"RM 50,800",Toyota Corolla Altis,75 - 80K KM,Automatic,"Selangor , Kajang",,,,,,
2021 Perodua Aruz 1.5 AV SUV - NEW CAR CONDITION LOW MILEA...,RM 633 / month,"RM 48,800",Perodua Aruz,50 - 55K KM,Automatic,"Selangor , Kajang",,,,,,
2017 Honda CR-V 2.4 SUV - (A) MAXIMUM LOAN AVAILABLE 1 OWN...,RM 516 / month,"RM 39,800",Honda CR-V,105 - 110K KM,Automatic,"Selangor , Kajang",,,,,,
2017 Honda Civic 1.5 TC Sedan - (A) TIPTOP CONDITION 1 YEA...,RM 736 / month,"RM 56,800",Honda Civic,95 - 100K KM,Automatic,"Selangor , Kajang",,,,,,
2020 Proton Saga 1.3 Premium Sedan - CONDITION LIKE NEW LO...,RM 231 / month,"RM 17,800",Proton Saga,85 - 90K KM,Automatic,"Selangor , Kajang",,,,,,
2018 Perodua AXIA 1.0 G Hatchback - HB (A) MAXIMIUM LOAN A...,RM 244 / month,"RM 18,800",Perodua AXIA,80 - 85K KM,Automatic,"Selangor , Kajang",,,,,,
2021 Toyota Yaris 1.5 E Hatchback - HB (A) SERVICE UDR MAX...,RM 697 / month,"RM 53,800",Toyota Yaris,75 - 80K KM,Automatic,"Selangor , Kajang",,,,,,
2020 Perodua Aruz 1.5 AV SUV - NEW CAR CONDITION LOW MILEA...,RM 594 / month,"RM 45,800",Perodua Aruz,65 - 70K KM,Automatic,"Selangor , Kajang",,,,,,
2021 Perodua AXIA 1.0 Style Hatchback,RM 441 / month,"RM 34,000",Perodua AXIA,57999 KM,Automatic,"Johor , Skudai",,,,,,
2018 Perodua Alza 1.5 EZ MPV,RM 511 / month,"RM 39,400",Perodua Alza,143704 KM,Automatic,"Selangor , Petaling Jaya",,,,,,
2020 Peugeot 3008 1.6 THP Allure SUV,RM 725 / month,"RM 55,900",Peugeot 3008,78334 KM,Automatic,"Selangor , Cheras",,,,,,
2022 Proton X50 1.5 Premium SUV,RM 874 / month,"RM 67,400",,31885 KM,Automatic,"Kuala Lumpur , Setiawangsa",,,,,,
2016 Proton Saga 1.3 Standard Sedan,RM 218 / month,"RM 16,800",Proton Saga,107995 KM,Automatic,"Selangor , Petaling Jaya",,,,,,
2017 Honda CR-V 2.0 SUV - I-VTEC 2WD FACELIFT (A) Car King...,RM 776 / month,"RM 59,888",Honda CR-V,90 - 95K KM,Automatic,"Johor , Johor Bahru",,,,,,
2018 Mazda CX-5 2.2 SKYACTIV-D GLS SUV - (A) SKYACTIV GLS ...,RM 608 / month,"RM 46,888",Mazda CX-5,90 - 95K KM,Automatic,"Johor , Johor Bahru",,,,,,
2014 BMW 528i 2.0 M Sport Sedan - ON OFF EXHAUST M-Sport F...,RM 647 / month,"RM 49,888",BMW 528i,105 - 110K KM,Automatic,"Johor , Johor Bahru",,,,,,
2019 Nissan X-Trail 2.0 Mid SUV - Full Service Record L CV...,RM 673 / month,"RM 51,888",Nissan X-Trail,70 - 75K KM,Automatic,"Johor , Johor Bahru",,,,,,
2014 Honda Accord 2.4 VTi-L Sedan - (A) Car King Bodykits ...,RM 478 / month,"RM 36,888",Honda Accord,100 - 105K KM,Automatic,"Johor , Johor Bahru",,,,,,
2019 Volvo XC90 2.0 T8 Twin Engine Inscription Plus SUV - ...,"RM 1,690 / month","RM 130,388",Volvo XC90,30 - 35K KM,Automatic,"Kuala Lumpur , Chan Sow Lin",,,,,,
2019 Toyota Vios 1.5 G Sedan - LOANKEDAI NSP151 FACELIFT D...,RM 620 / month,"RM 47,800",Toyota Vios,75 - 80K KM,Automatic,"Selangor , Kajang",,,,,,
2020 Perodua Myvi 1.5 H Hatchback - LOANKEDAI MG3 D20N M80...,RM 464 / month,"RM 35,800",Perodua Myvi,50 - 55K KM,Automatic,"Selangor , Kajang",,,,,,
2018/2021 Lamborghini Urus 4.0 SUV - Official Kuala Lumpur...,"RM 13,224 / month","RM 1,020,000",,35 - 40K KM,Automatic,"Kuala Lumpur , Chan Sow Lin",,,,,,
2018 Toyota Hilux 2.4 L-Edition Dual Cab Pickup - LOANKEDA...,RM 944 / month,"RM 72,800",Toyota Hilux,70 - 75K KM,Automatic,"Selangor , Kajang",,,,,,
2017 Honda HR-V 1.8 E SUV - LOANKEDAI RU ENHANCED (17-inch...,RM 672 / month,"RM 51,800",Honda HR-V,90 - 95K KM,Automatic,"Selangor , Cheras",,,,,,
2017/2019 Toyota Alphard 2.5 G S C Package MPV - LOANKEDAI...,"RM 2,292 / month","RM 176,800",Toyota Alphard,85 - 90K KM,Automatic,"Selangor , Kajang",,,,,,
2020 Toyota Yaris 1.5 G Hatchback - (A) HARGA BERPATUTAN N...,RM 671 / month,"RM 51,777",Toyota Yaris,75 - 80K KM,Automatic,"Selangor , Petaling Jaya",,,,,,
2016 Perodua Myvi 1.5 Advance Hatchback - Facelift (A) TIP...,RM 399 / month,"RM 30,800",Perodua Myvi,100 - 105K KM,Automatic,"Penang , Sungai Nibong",,,,,,
2020 Perodua Myvi 1.5 AV Hatchback - LOW MILEAGE SAJA MUKA...,RM 568 / month,"RM 43,800",Perodua Myvi,40 - 45K KM,Automatic,"Selangor , Puchong",,,,,,
2020 BMW X1 2.0 sDrive20i M Sport SUV - LOANKEDAI F48 LCI ...,"RM 1,203 / month","RM 92,800",BMW X1,65 - 70K KM,Automatic,"Selangor , Kajang",,,,,,
2019 Proton X70 1.8 Premium SUV,RM 635 / month,"RM 49,000",Proton X70,75 - 80K KM,Automatic,"Selangor , Petaling Jaya",,,,,,
"2019 Audi Q2 1.4 TFSI SUV - (A) 1 YEAR PREMIUM WARRANTY , ...","RM 1,203 / month","RM 92,800",,80 - 85K KM,Automatic,"Penang , Bukit Mertajam",,,,,,
2011 Toyota Harrier 2.4 240G Premium L SUV - Rav4 Direct O...,RM 309 / month,"RM 23,800",Toyota Harrier,255 - 260K KM,Automatic,"Johor , Skudai",,,,,,
2015/2018 Mercedes-Benz SLK200 1.8 AMG Sport Convertible -...,"RM 1,164 / month","RM 89,800",Mercedes-Benz SLK200,35 - 40K KM,Automatic,"Kuala Lumpur , Desa Petaling",,,,,,
2019/2022 Toyota Vellfire 2.5 ZG MPV - LOANKEDAI AGH30 FAC...,"RM 2,201 / month","RM 169,800",Toyota Vellfire,55 - 60K KM,Automatic,"Selangor , Kajang",,,,,,
2017 Mercedes-Benz GLA250 2.0 4MATIC AMG Line SUV - 4MATIC...,"RM 1,035 / month","RM 79,800",Mercedes-Benz GLA250,105 - 110K KM,Automatic,"Perak , Ipoh",,,,,,
2012 Toyota Alphard 2.4 240G MPV - 3 Years Warranty No Pro...,RM 866 / month,"RM 66,800",Toyota Alphard,85 - 90K KM,Automatic,"Perak , Ipoh",,,,,,
2016 BMW 520i 2.0 M Sport Sedan - (A) LCI New Facelift Ori...,RM 775 / month,"RM 59,777",BMW 520i,100 - 105K KM,Automatic,"Kuala Lumpur , Jalan Kuching",,,,,,
2021 Mercedes-Benz GLC300 2.0 4MATIC AMG Line SUV - AMG Li...,"RM 2,590 / month","RM 199,777",Mercedes-Benz GLC300,30 - 35K KM,Automatic,"Kuala Lumpur , Jalan Kuching",,,,,,
2019 Honda Jazz 1.5 E Hatchback,RM 764 / month,"RM 58,900",Honda Jazz,77485 KM,Automatic,"Selangor , Petaling Jaya",,,,,,
2021 Perodua Alza 1.5 SE MPV,RM 630 / month,"RM 48,600",Perodua Alza,119005 KM,Automatic,"Selangor , Petaling Jaya",,,,,,
2020 Perodua AXIA 1.0 GXtra Hatchback,RM 420 / month,"RM 32,400",Perodua AXIA,57610 KM,Automatic,"Selangor , Petaling Jaya",,,,,,
2022 Perodua AXIA 1.0 GXtra Hatchback,RM 439 / month,"RM 33,900",Perodua AXIA,41323 KM,Automatic,"Selangor , Petaling Jaya",,,,,,
2017 Mercedes-Benz AMG E43 3.0 4MATIC Sedan - Most Cheaper...,"RM 2,139 / month","RM 165,000",,45 - 50K KM,Automatic,"Johor , Johor Bahru",,,,,,
2018 Lexus RX 300 2.0 Luxury SUV - Most Cheaper In Jb No H...,"RM 2,139 / month","RM 165,000",,95 - 100K KM,Automatic,"Johor , Johor Bahru",,,,,,
2020 Mercedes-Benz GLC300 2.0 4MATIC AMG Line Coupe - ( Mo...,"RM 2,681 / month","RM 206,800",Mercedes-Benz GLC300,100 - 105K KM,Automatic,"Johor , Johor Bahru",,,,,,
2017 Proton Saga 1.3 Premium Sedan - direct Owner,RM 219 / month,"RM 16,888",Proton Saga,95 - 100K KM,Automatic,"Johor , Skudai",,,,,,
2017/2021 BMW M4 3.0 Competition Coupe - LOANKEDAI 7-DCT F...,"RM 3,290 / month","RM 253,800",BMW M4,70 - 75K KM,Automatic,"Selangor , Kajang",,,,,,
2021/2024 Porsche Taycan 4S Sedan - REG 2024 (A) JAPAN,"RM 3,614 / month","RM 278,800",,25 - 30K KM,Automatic,"Kuala Lumpur , Cheras",,,,,,
2022 Nissan Navara 2.5 VL Dual Cab Pickup - (1 Owner),"RM 1,146 / month","RM 88,400",Nissan Navara,35 - 40K KM,Automatic,"Kuala Lumpur , Chan Sow Lin",,,,,,
2017 Perodua AXIA 1.0 G Hatchback - (EXCELLENT CONDITION) ...,RM 322 / month,"RM 24,800",Perodua AXIA,100 - 105K KM,Automatic,"Kuala Lumpur , Chan Sow Lin",,,,,,
2021/2022 Mercedes-Benz E300 2.0 AMG Line Sedan - (A) WARR...,"RM 2,707 / month","RM 208,800",Mercedes-Benz E300,55 - 60K KM,Automatic,"Kuala Lumpur , Cheras",,,,,,
2015 Perodua AXIA 1.0 Advance Hatchback - (GREAT CONDITION...,RM 298 / month,"RM 23,000",Perodua AXIA,150 - 155K KM,Automatic,"Kuala Lumpur , Cheras",,,,,,
2021 Honda Jazz 1.5 E Hatchback - (EXCELLENT CONDITION)   ...,RM 860 / month,"RM 66,300",Honda Jazz,60 - 65K KM,Automatic,"Kuala Lumpur , Chan Sow Lin",,,,,,
2013 Nissan Grand Livina 1.8 CVTC Comfort MPV - (GOOD COND...,RM 316 / month,"RM 24,400",Nissan Grand Livina,145 - 150K KM,Automatic,"Kuala Lumpur , Chan Sow Lin",,,,,,
2024 Honda HR-V 1.5 e:HEV RS SUV - eHEV RS (1 Owner),"RM 1,541 / month","RM 118,900",Honda HR-V,15 - 20K KM,Automatic,"Kuala Lumpur , Chan Sow Lin",,,,,,
2017 Volkswagen Passat 2.0 TSI Highline Sedan - (GREAT CON...,RM 738 / month,"RM 56,900",Volkswagen Passat,120 - 125K KM,Automatic,"Kuala Lumpur , Chan Sow Lin",,,,,,
2020 MINI Countryman 2.0 Cooper S Pure SUV - Cooper S CKD ...,"RM 1,449 / month","RM 111,800",MINI Countryman,70 - 75K KM,Automatic,"Kuala Lumpur , Cheras",,,,,,
2019 Mercedes-Benz GLC250 2.0 4MATIC AMG Line SUV - CKD Pa...,"RM 1,631 / month","RM 125,800",Mercedes-Benz GLC250,70 - 75K KM,Automatic,"Kuala Lumpur , Cheras",,,,,,
2022 Perodua Ativa 1.0 AV SUV - BUDGET RM633 MO 9 YEARS LO...,RM 749 / month,"RM 57,800",,55 - 60K KM,Automatic,"Johor , Skudai",,,,,,
"2019 Proton X70 1.8 Executive SUV - TGDI 2WD , NO PROCESSI...",RM 542 / month,"RM 41,800",Proton X70,75 - 80K KM,Automatic,"Selangor , Kajang",,,,,,
"2021 Toyota Yaris 1.5 E Hatchback - , GR BODYKIT , APPLE C...",RM 710 / month,"RM 54,800",Toyota Yaris,50 - 55K KM,Automatic,"Selangor , Kajang",,,,,,
"2023 Perodua Myvi 1.5 H Hatchback - FACELIFT , UNDER WARRA...",RM 568 / month,"RM 43,800",Perodua Myvi,55 - 60K KM,Automatic,"Selangor , Kajang",,,,,,
2022 Proton X50 1.5 Flagship SUV - Sime Darby,RM 830 / month,"RM 64,000",,50 - 55K KM,Automatic,"Kuala Lumpur , Chan Sow Lin",,,,,,
2020 Perodua Bezza 1.3 X Sedan,RM 524 / month,"RM 40,400",Perodua Bezza,85 - 90K KM,Automatic,"Sarawak , Kuching",,,,,,
2022 Nissan Serena 2.0 S-Hybrid High-Way Star Premium MPV ...,"RM 1,281 / month","RM 98,800",Nissan Serena,30 - 35K KM,Automatic,"Penang , Butterworth",,,,,,
2023 Mitsubishi Triton 2.4 VGT Dual Cab 4X4 Pickup,RM 971 / month,"RM 74,888",Mitsubishi Triton,25 - 30K KM,Automatic,"Sarawak , Kuching",,,,,,
2024 BMW 750e 3.0 xDrive M Sport Pure Excellence Sedan - g...,"RM 6,337 / month","RM 488,800",,5 - 10K KM,Automatic,"Negeri Sembilan , Seremban",,,,,,
2020 BMW 740Le 3.0 xDrive Pure Excellence Sedan - Accident...,"RM 2,318 / month","RM 178,800",,80 - 85K KM,Automatic,"Negeri Sembilan , Seremban",,,,,,
2025 BMW i7 xDrive60 M Sport Sedan - 0.0 Good Condition Ac...,"RM 6,596 / month","RM 508,800",,5 - 10K KM,Automatic,"Negeri Sembilan , Seremban",,,,,,
2025 BMW 530i 2.0 M Sport Sedan - Good Condition Accident ...,"RM 4,224 / month","RM 325,800",BMW 530i,15 - 20K KM,Automatic,"Negeri Sembilan , Seremban",,,,,,
2023 BMW i7 xDrive60 M Sport Sedan - 0.0 Good Condition Ac...,"RM 5,559 / month","RM 428,800",,10 - 15K KM,Automatic,"Negeri Sembilan , Seremban",,,,,,
2024 BMW iX2 U10 5dr xDrive30 M Sport Reduction Gear 1sp A...,"RM 2,577 / month","RM 198,800",,15 - 20K KM,Automatic,"Negeri Sembilan , Seremban",,,,,,
2025 BMW X5 3.0 xDrive40i M Sport SUV - Good Condition Acc...,"RM 5,391 / month","RM 415,800",BMW X5,0 - 5K KM,Automatic,"Negeri Sembilan , Seremban",,,,,,
2025 BMW X5 3.0 xDrive50e M Sport SUV - Good Condition Acc...,"RM 5,261 / month","RM 405,800",BMW X5,0 - 5K KM,Automatic,"Negeri Sembilan , Seremban",,,,,,
2024 BMW i4 M50 Coupe - 0.0 Gran Good Condition Accident F...,"RM 4,003 / month","RM 308,800",,5 - 10K KM,Automatic,"Negeri Sembilan , Seremban",,,,,,
2025 BMW 218 1.5 Gran Sport Coupe - Good Condition Acciden...,"RM 2,253 / month","RM 173,800",,5 - 10K KM,Automatic,"Negeri Sembilan , Seremban",,,,,,
